"id","submitdate","lastpage","startlanguage","seed","startdate","datestamp","Fahrzeug","Datum","ZeitBeginn","Dauer","Dauer[other]","Reiseroute"
"118","2022-05-11 10:30:24","1","de","295440416","2022-05-11 10:29:33","2022-05-11 10:30:23","BMW","2022-05-11 00:00:00","1970-01-01 10:30:00","3","","A9 Greiz münchen"
"121","2022-05-11 17:10:21","1","de","556292574","2022-05-11 17:09:45","2022-05-11 17:10:21","VW","2022-05-11 00:00:00","1970-01-01 17:15:00","2","","Teublitz über bab nach heimat"
"122","2022-05-13 09:23:32","1","de","434888557","2022-05-13 09:22:51","2022-05-13 09:23:32","VW","2022-05-13 00:00:00","1970-01-01 09:30:00","1","","Heimat TUM Garching zwischendurch tanken"
"123","2022-05-23 08:39:07","1","de","1779333127","2022-05-23 08:38:20","2022-05-23 08:39:07","Porsc","2022-05-23 00:00:00","1970-01-01 08:45:00","0.5","","Probefahrt A9 - Laura Hellmuth"
"124","2022-05-23 15:37:57","1","de","756111808","2022-05-23 15:37:08","2022-05-23 15:37:57","BMW","2022-05-23 00:00:00","1970-01-01 15:30:00","2","","A9 garching - ingolstadt - garching"
"125","2022-05-24 09:28:53","1","de","844470324","2022-05-24 09:27:50","2022-05-24 09:28:53","BMW","2022-05-24 00:00:00","1970-01-01 09:30:00","1","","A9 Garching - Ingolstadt - Garching"
"126","2022-05-24 19:02:54","1","de","936814533","2022-05-24 19:01:16","2022-05-24 19:02:54","Porsc","2022-05-24 00:00:00","1970-01-01 19:00:00","1,5","","A95 Richtung Garmisch bis ca. Kochel und zurück nach München "
"127","2022-05-26 13:44:36","1","de","177101024","2022-05-26 13:43:33","2022-05-26 13:44:35","Porsc","2022-05-26 00:00:00","1970-01-01 13:45:00","3","","München A94 bis Altötting - Traunstein - München"
"128","2022-05-26 13:45:15","1","de","35745558","2022-05-26 13:44:40","2022-05-26 13:45:14","Porsc","2022-05-26 00:00:00","1970-01-01 13:45:00","3","","A94 München bis Altötting, Traunstein und zurück nach München "
"129","2022-05-27 14:20:53","1","de","658792467","2022-05-27 14:20:26","2022-05-27 14:20:53","Porsc","2022-05-27 00:00:00","1970-01-01 14:15:00","0.5","","München Ganghoferstraße zurück zur TUM Garching "

